SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
13.75,1436877.0819611982,1465157.0507514796,1454132.9938817313,1364913.7718439535,1648500.409894452,1541422.8810802808,1525503.2101707314,1526935.5960572704,1793804.0754998235,1560622.6384881048,1691463.6585256692,1598001.0658943725,1473889.3884752158,1605618.1406577572,1516350.9550683137,1550892.8553116538,1343489.1204438354,1523225.0646206827,1965766.7183619412,1723305.4818452634,1456105.6269037074,1561959.3249637142,1405594.3086704053,1487791.5115154583
14.0,1461853.473411719,1496866.647721672,1452041.5940501473,1374061.784285531,1636262.4833353648,1542866.2143337366,1546642.9000068577,1548097.4780648984,1779566.4930305625,1575295.5686086162,1699507.805755644,1615274.3713015644,1501781.699366454,1614044.4189947445,1514003.4643808422,1554390.284156857,1332841.2659600575,1493866.3803284962,1952097.605780139,1746314.3342541058,1475616.422187863,1553323.7178469137,1406712.757179029,1493287.6363380316
14.25,1485755.046863686,1489805.8085258007,1450183.6788440906,1365283.164928104,1634104.9499744647,1549137.9695386887,1506339.6130964828,1553180.6243166057,1770755.5057692095,1562920.8116526748,1685013.4670380536,1607329.7136709762,1500628.029928713,1629503.02965852,1551119.3694853494,1549744.062646548,1337081.9459066247,1528445.5146170384,1920673.9911184744,1728692.137177525,1449919.8426300397,1510974.323548606,1415238.3294078365,1511314.6819408878
14.5,1480953.5121628733,1497097.9864228566,1457462.1815450985,1390181.3741529204,1603251.305453994,1592679.5240949718,1542850.8493922406,1544448.745370937,1769246.056510564,1549316.9082682205,1659455.6435487487,1622725.6729803663,1505592.6606122798,1624198.9350969286,1555901.8352174181,1556299.2458338737,1333967.2415843732,1586908.1948019664,1918052.0313038249,1709655.567124338,1481922.1659543875,1496167.4422134198,1427001.1786258148,1509034.9058984409
14.75,1528917.0638277747,1515696.680211401,1458216.975047834,1393995.8026635142,1597154.538424564,1574246.8751563015,1555629.3403621875,1534377.0537298955,1767663.7413365047,1547298.6214018012,1663903.17942274,1687156.878795855,1511505.5697261349,1642794.8758886943,1556057.1217343446,1569830.3773511394,1358383.8824986834,1610702.4874751207,1850597.8249705054,1742562.8582606316,1496296.3771936821,1441045.4410263698,1437784.4264952776,1533268.9137051322
15.0,1528439.3927277364,1521323.3717421214,1472506.5174219536,1393898.0763143047,1606200.9980869005,1553260.528360439,1543730.3499540705,1541378.6533788044,1774399.823407939,1558154.433640769,1637488.8043568062,1650483.7537600345,1521799.790789792,1646269.1265365428,1574382.7711011714,1583397.0152209455,1359650.3044360478,1554210.3056982502,1871474.3716902444,1696728.3684610454,1495643.468823404,1410121.9231540218,1468332.463028402,1561083.5596698849
15.25,1523076.736048814,1519205.0406909308,1485702.921320424,1429782.0988582699,1593019.2580701075,1583419.2608312839,1538925.7463114623,1560784.389022408,1766576.3132249948,1539884.3173656752,1624583.7981078697,1678741.2564274035,1561456.900140979,1647546.5215343127,1611396.882763458,1578309.3678879593,1379414.2430053623,1507666.5262310288,1863646.9413840699,1726175.8371177297,1551914.5630780568,1392674.807451884,1438527.7915757208,1566574.2314826793
15.5,1586316.376196081,1582904.1248388132,1519828.5104816176,1419463.2413308837,1590372.2261262662,1568158.665438753,1542783.3864195996,1538237.792714928,1766952.0110221342,1546145.3495921222,1627755.5116787679,1674153.9796350074,1518573.3639300808,1615593.3535854167,1612324.2873410601,1611249.6792594593,1423313.5830837162,1538522.0114314195,1863169.028791731,1741739.8226516608,1539919.3286694179,1401558.3010833624,1445435.054265268,1614392.2227284114
15.75,1592761.472963709,1579497.4083886782,1502260.496608662,1432769.4644159405,1607139.8361676245,1581267.4085682668,1578243.1526687795,1570304.3353429995,1788665.9500942086,1549278.804088867,1662654.2590626949,1725967.4670442669,1584600.0855098637,1611636.0697092,1638071.820445133,1624268.0603495946,1432324.3609452825,1553157.0260881223,1861817.384522626,1721066.4069727117,1564325.9858778752,1439856.0716168808,1467859.654057575,1623087.6022905582
16.0,1642325.4068070035,1612297.661505111,1513610.7307349986,1410624.1873024015,1605744.9914688054,1581875.5443607823,1576265.1355697892,1589369.194858739,1807393.6316720645,1561276.0258777502,1669450.222107396,1741446.09629173,1555815.197536035,1597217.890684937,1663692.1046790066,1643364.043748003,1453236.7547214825,1616083.3897966905,1843804.1744842962,1762083.4944876179,1595905.8443331718,1435229.5734381098,1473507.2195092693,1644824.1388639826
16.25,1625853.2159300572,1650246.3673642476,1545459.0592142453,1427230.1926646521,1625380.3517704587,1578876.8877334595,1564854.9036359498,1557559.812747204,1817416.1433189276,1560884.1306281234,1674852.3976431326,1773069.2513411262,1605556.0472496785,1592082.0233627232,1683079.0650242893,1666261.9461031538,1499849.413299416,1632812.172531287,1851211.2066836357,1797324.7959540251,1596576.484047514,1444924.7376090975,1490608.148790345,1652027.5074099049
16.5,1618944.0198833437,1665947.5985301018,1559970.8218131354,1417556.0740432884,1612423.6275396491,1584421.566956809,1586470.709052924,1612229.971123392,1826242.0909781312,1595600.3329510544,1700014.3280839054,1808859.971710133,1629105.8367290064,1596295.3514128453,1680560.410198515,1679760.7225817044,1504151.812476028,1607610.848884568,1840616.0375269253,1771481.7333732953,1626910.2049796798,1475642.4451841442,1485739.7637755654,1651355.986828963
16.75,1669095.2670742236,1666359.3420176187,1587422.3906479892,1443204.9255987369,1631045.9857407918,1597783.201401595,1590436.5624991185,1632853.6353045087,1844067.4661967105,1614536.7031745333,1733746.1331263166,1833612.789324327,1636632.5910491943,1612525.307258418,1708528.0918611614,1695547.2254819293,1543154.0437865257,1626464.0519207173,1822120.526279435,1826748.589588382,1651005.8725457625,1498029.314444094,1487255.900260087,1665320.0197139364
